waktu,link,foto,judul,source
 19.10 WIB ,goal.com/id/berita/supercar-cristiano-ronaldo-dipindahkan-sinyal-hengkang-makin/1wu81gznkr1d319pre2oesoj5u,https://images.daznservices.com/di/library/GOAL/3f/74/cristiano-ronaldo-juventus_xa8t617iu16l1wxvcj5e9ni7f.jpg?t=1511329785&quality=60&w=55,"Supercar Ronaldo Dipindahkan, Sinyal Hengkang Makin Kuat?",https://www.goal.com/id
 20.46 WIB ,goal.com/id/berita/manuel-neuer-bayern-munich-liverpool-alisson-becker/kgvs3kv0kusu19kyzqy5r2yeu,https://images.daznservices.com/di/library/GOAL/10/84/alisson-becker-liverpool-2020-21_167xnyxr9fpaa1xuc4szd3ligz.jpg?t=2049621209&quality=60&w=55,Lima Kata Dari Neuer Untuk Alisson,https://www.goal.com/id
 10.58 WIB ,goal.com/id/berita/lionel-messi-barcelona-camp-nou/1donaea20dvxh1izjr9xebyqhz,https://images.daznservices.com/di/library/GOAL/88/58/leo-messi-barcelona-vs-celta_1tb8aoytrnc6a1xzqgr0hgn4r0.png?t=2052605081&quality=60&w=55,"Cerita Indah Berakhir Getir, Messi Pamit Di Camp Nou?",https://www.goal.com/id
 17.54 WIB ,goal.com/id/berita/liverpool-west-bromwich-alisson-becker-john-achterberg/3u944zm1yty71fe7t8wq25fpu,https://images.daznservices.com/di/library/GOAL/40/31/alisson-goal-west-brom-liverpool-2021_192tevq86fht81pwztvxm7o2px.jpg?t=2046815689&quality=60&w=55,"Kronologi Gol Kemenangan Liverpool, Alisson: Saya Disuruh Maju Oleh Achterberg",https://www.goal.com/id
 16/05/21 ,goal.com/id/berita/sven-botman-akui-sulit-tolak-rayuan-liverpool/527hg9sp3h461w6ucqootycnp,https://images.daznservices.com/di/library/GOAL/52/94/sven-botman-liverpool-gfx_snb2omo6xz1v1bmwoh07ktwdz.jpeg?t=-543072138&quality=60&w=55,Sven Botman Akui Sulit Tolak Rayuan Liverpool,https://www.goal.com/id
 17/05/21 ,goal.com/id/berita/yudha-febrian-lecehkan-wanita-barito-putera-sudah-bukan/1urjvmdyfnkb41ind0tvo11l5e,https://images.daznservices.com/di/library/GOAL/f1/c1/mochammad-yudha-indonesia-u-16_bl9n7i4hyjnn1shbvosql8ifw.jpg?t=522179750&quality=60&w=55,"Yudha Lecehkan Wanita, Barito Putera: Sudah Bukan Pemain Kami",https://www.goal.com/id
 05.18 WIB ,goal.com/id/berita/cristiano-ronaldo-andrea-pirlo-juventus-serie-a-inter-milan/1r0ggei4o90ip1ofqkkp6h474q,https://images.daznservices.com/di/library/GOAL/88/14/cristiano-ronaldo-andrea-pirlo-juventus-2020-21_8popyhanlg9610xdtzzg92p94.jpg?t=1962285081&quality=60&w=55,"Ronaldo Tak Marah Saat Diganti, Kok Tumben?",https://www.goal.com/id
 04.29 WIB ,goal.com/id/berita/ac-milan-cagliari-juventus-serie-a/prtts1dxhmhe1hzedkbwuwvfv,https://images.daznservices.com/di/library/GOAL/36/fa/castillejo-milan-cagliari-serie-a-202021_1u5irvwvnhr4e16p0e0z06nzhq.jpg?t=2067237721&quality=60&w=55,"Imbang, Milan Dihantui Juventus Di Peringkat Kelima",https://www.goal.com/id
 01.40 WIB ,goal.com/id/berita/tidak-masalah-hendri-susilo-santai-persiraja-banda-aceh/cg5jmlpuwcq01dyzrm846924c,https://images.daznservices.com/di/library/GOAL/32/45/bruno-dybal-hendri-susilo-persiraja_137v46pgslln81ajibhb0tlsn5.jpg?t=1135297556&quality=60&w=55,"""Tidak Masalah"" - Persiraja Ditinggal Banyak Pemain",https://www.goal.com/id
 00.45 WIB ,goal.com/id/berita/striker-muda-thailand-yakin-sapu-bersih-tiga-laga-sisa/yzgaahhqbx8p1j8efkv2thoyz,https://images.daznservices.com/di/library/GOAL/6e/58/-_16zbjt67d2rz91g21a6pmqi5wb.jpg?t=656217363&quality=60&w=55,Striker Muda Thailand Yakin Sapu Bersih Tiga Laga Sisa,https://www.goal.com/id
